title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Maryvale,Construction,172.0,408.0,2026,Catl,Gentari,3,-38.14,146.34,VIC
Smoky Creek and Guthrie's Gap,Announced,600.0,400.0,2028,,Edify Energy,2,-28.5,152.0,QLD
Valley of the Winds,Announced,320.0,640.0,2026,,Acen Renewables,2,-30.01,141.53,NSW
Boddington,Construction,324.0,200.0,2027,,PGS,3,-32.8,116.47,WA
Aurora,Announced,140.0,2800.0,2029,,"Vast Solar, 1414",2,-35.12,140.15,SA
Bookham,Announced,250.0,1000.0,2027,Not specified,Squadron Energy,2,-34.84,148.69,NSW
Burroway,Announced,100.0,400.0,,Not specified,Edify Energy,2,-27.114940030443503,120.89029896010257,WA
Tropicana ,Operating,13.0,4.0,2025,n/a,"Ashanti, Pacific Energy.",1,-30.40668657718144,122.45419178554334,WA
Peninsula,Announced,80.0,160.0,,Not specified,Edify Energy,2,-38.26,145.19,VIC
Pleystowe,Announced,200.0,800.0,,Not specified,Trina Solar,2,-21.06,148.79,QLD
Mccullys Gap,Proposed,300.0,1600.0,2028,Not specified,BW ESS,4,-32.29,150.49,NSW
Bannaby,Construction,233.0,2676.0,,Not specified,BW BESS,3,-34.6,149.85,NSW
Mannum,Construction,100.0,200.0,2025,,Epic Energy,3,-34.92,139.32,SA
Blue Grass,Construction,148.0,296.0,2025,,X-Elio,3,-33.7,138.82,SA
South Coree,Announced,80.0,320.0,,,Samsung,2,-30.12,145.66,NSW
Joel Joel,Announced,250.0,1000.0,2027,N/A,ACEnergy,2,-36.59,147.6,NSW
Pottinger ,Construction,832.0,,,,Someva Renewables and AGL Energy.,13,-36.25,148.11,NSW
Eurimbula,Construction,666.0,1332.0,2027,SMA,Elements Green,3,-24.01,151.58,QLD
Reeves Plains Energy Hub,Construction,500.0,2000.0,2028,CATL,Alinta Energy,3,-34.3,138.62,SA
Tarrone,Announced,200.0,400.0,2027,,GPG,2,-38.29,142.34,VIC
Tall Tree,Announced,200.0,800.0,2027,,Acciona,2,-33.5,148.8,NSW
